Team,GM,PTS,PPG,OPP PTS,OPP PPG
A&M-Corpus Christi ,7,535,76.4,478,68.3
Abilene Christian ,7,512,73.1,491,70.1
Air Force ,7,459,65.6,433,61.9
Akron ,6,388,64.7,400,66.7
Alabama A&M ,7,535,76.4,558,79.7
Alabama St. ,8,483,60.4,646,80.8
Alabama ,7,590,84.3,483,69
Alcorn ,7,437,62.4,491,70.1
American ,6,394,65.7,388,64.7
App State ,7,564,80.6,486,69.4
Arizona St. ,7,518,74,418,59.7
Arizona ,6,585,97.5,472,78.7
Ark.-Pine Bluff ,8,518,64.8,573,71.6
Arkansas St. ,7,499,71.3,445,63.6
Arkansas ,7,540,77.1,441,63
Army West Point ,7,562,80.3,553,79
Auburn ,7,491,70.1,398,56.9
Austin Peay ,7,448,64,490,70
Ball St. ,7,542,77.4,464,66.3
Baylor ,6,547,91.2,406,67.7
Belmont ,7,530,75.7,525,75
Bethune-Cookman ,7,458,65.4,506,72.3
Binghamton ,6,420,70,426,71
Boise St. ,6,404,67.3,355,59.2
Boston College ,7,450,64.3,435,62.1
Boston U. ,8,559,69.9,534,66.8
Bowling Green ,6,411,68.5,452,75.3
Bradley ,7,508,72.6,445,63.6
Brown ,6,399,66.5,421,70.2
Bryant ,7,670,95.7,483,69
Bucknell ,7,512,73.1,439,62.7
Buffalo ,7,513,73.3,551,78.7
Butler ,7,516,73.7,447,63.9
BYU ,7,513,73.3,507,72.4
Cal Poly ,6,397,66.2,401,66.8
Cal St. Fullerton ,7,514,73.4,523,74.7
California Baptist ,7,457,65.3,428,61.1
California ,7,409,58.4,461,65.9
Campbell ,7,493,70.4,473,67.6
Canisius ,6,456,76,447,74.5
Central Ark. ,7,545,77.9,515,73.6
Central Conn. St. ,7,444,63.4,539,77
Central Mich. ,6,419,69.8,436,72.7
Charleston So. ,5,360,72,365,73
Charlotte ,7,456,65.1,385,55
Chattanooga ,6,472,78.7,397,66.2
Chicago St. ,8,530,66.2,629,78.6
Cincinnati ,7,532,76,490,70
Clemson ,7,505,72.1,439,62.7
Cleveland St. ,7,469,67,449,64.1
Coastal Carolina ,5,402,80.4,317,63.4
Col. of Charleston ,7,577,82.4,547,78.1
Colgate ,9,731,81.2,646,71.8
Colorado St. ,7,515,73.6,424,60.6
Colorado ,7,520,74.3,486,69.4
Columbia ,9,600,66.7,665,73.9
Coppin St. ,8,609,76.1,676,84.5
Cornell ,6,514,85.7,407,67.8
Creighton ,7,587,83.9,470,67.1
CSU Bakersfield ,6,358,59.7,343,57.2
CSUN ,5,347,69.4,342,68.4
Dartmouth ,7,514,73.4,529,75.6
Davidson ,7,554,79.1,522,74.6
