Rk,School,City State,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
1,Abilene Christian,Abilene Texas,1971,2023,13,366,200,166,0.546,-8.68,-6.38,0,0,2,2,0,0
2,Air Force,USAF Academy Colorado,1958,2023,66,1787,775,1012,0.434,-2.87,1.17,0,1,0,4,0,0
3,Akron,Akron Ohio,1902,2023,72,1656,984,672,0.594,-0.05,-1.35,0,9,5,5,0,0
4,Alabama,Tuscaloosa Alabama,1913,2023,110,2829,1744,1084,0.617,7.81,4.85,16,11,8,23,0,0
5,Alabama A&M,Normal Alabama,2000,2023,24,661,251,410,0.38,-16.82,-11.04,0,1,1,1,0,0
6,Alabama State,Montgomery Alabama,1983,2023,41,1185,554,631,0.468,-13.39,-9.83,0,4,4,4,0,0
7,Albany (NY),Albany New York,2000,2023,24,713,349,364,0.489,-7.1,-5.91,0,2,5,5,0,0
8,Alcorn State,Alcorn State Mississippi,1978,2023,46,1335,578,757,0.433,-13.29,-8.43,0,11,6,6,0,0
9,Allegheny Gators,Meadville Pennsylvania,1896,1916,21,234,191,41,0.823,,,0,0,0,,,
10,American,Washington D.C.,1967,2023,57,1581,773,808,0.489,-5.73,-3.87,0,7,3,3,0,0
11,Amherst,Amherst Massachusetts,1901,1902,2,12,12,0,1,,,0,0,0,,,
12,Appalachian State,Boone North Carolina,1974,2023,50,1455,716,739,0.492,-5.73,-3.31,0,10,3,3,0,0
13,Arizona,Tucson Arizona,1905,2023,116,2823,1864,958,0.661,9.37,5.09,28,25,8,36,4,1
14,Arizona State,Tempe Arizona,1912,2023,108,2639,1400,1239,0.531,5.15,4.03,7,8,0,16,0,0
15,Arkansas,Fayetteville Arkansas,1924,2023,100,2750,1766,984,0.642,7.95,3.25,18,26,7,34,6,1
16,Arkansas State,State University Arkansas,1971,2023,53,1512,776,736,0.513,-3.71,-2.95,0,7,1,1,0,0
17,Arkansas-Pine Bluff,Pine Bluff Arkansas,1999,2023,25,731,212,519,0.29,-19.09,-7.55,0,0,1,1,0,0
18,Armstrong Pirates,Savannah Georgia,1987,1987,1,28,6,22,0.214,-21.6,-4.78,0,0,0,0,0,0
19,Army,West Point New York,1903,2023,121,2576,1279,1297,0.497,-9.14,-4.65,0,0,0,0,0,0
20,Auburn,Auburn Alabama,1906,2023,117,2667,1437,1229,0.539,5.96,4.3,9,5,2,11,1,0
21,Augusta State Jaguars,Augusta Georgia,1985,1991,7,197,64,133,0.325,-17.3,-7.99,0,0,0,0,0,0
22,Augustana (IL) Vikings,Rock Island Illinois,1902,1917,12,116,81,35,0.698,,,0,0,0,,,
23,Austin Peay,Clarksville Tennessee,1964,2023,60,1703,853,850,0.501,-5.6,-3.36,1,8,5,7,0,0
24,Baker University Wildcats,Baldwin City Kansas,1903,1908,6,90,62,28,0.689,,,0,0,0,,,
25,Baldwin-Wallace Yellow Jackets,Berea Ohio,1948,1953,6,139,82,57,0.59,-4.46,1.83,0,0,0,0,0,0
26,Ball State,Muncie Indiana,1972,2023,52,1504,796,708,0.529,-1.06,-0.82,1,12,7,7,0,0
27,Baltimore Super Bees,Baltimore Maryland,1979,1983,5,133,46,87,0.346,-13.75,-6.44,0,0,0,0,0,0
